,last_updated,github_link,app_id,category,repo,username,commits,contributors,created_at,forks,stars
144,2016-11-07,https://github.com/ltGuillaume/DroidShows,nl.asymmetrics.droidshows,Multimedia,DroidShows,ltGuillaume,213.0,10.0,2015-07-28 00:36:35,6.0,17.0
145,2016-11-07,https://github.com/ligi/BLExplorer,org.ligi.blexplorer,Development,BLExplorer,ligi,75.0,1.0,2015-04-11 20:44:32,5.0,13.0
146,2016-11-07,https://github.com/itds-consulting/android-silent-ping-sms,com.itds.sms.ping,Phone & SMS,android-silent-ping-sms,itds-consulting,9.0,2.0,2016-03-31 09:23:50,13.0,23.0
147,2016-11-07,https://github.com/gateship-one/odyssey,org.gateshipone.odyssey,Multimedia,odyssey,gateship-one,609.0,3.0,2016-01-30 12:19:25,4.0,22.0
148,2016-11-07,https://github.com/freeminer/freeminer,org.freeminer.freeminer,Games,freeminer,freeminer,10298.0,277.0,2013-11-26 22:06:31,40.0,168.0
149,2016-11-07,https://github.com/enricocid/Simply-Solid,com.enrico.earthquake,Theming,Simply-Solid,enricocid,19.0,2.0,2016-11-01 11:27:49,1.0,1.0
150,2016-11-07,https://github.com/edsonduarte1990/reminders,com.lostrealm.lembretes,Science & Education,reminders,edsonduarte1990,101.0,1.0,2013-12-23 13:55:09,0.0,1.0
151,2016-11-07,https://github.com/bpellin/keepassdroid,com.android.keepass,Security,keepassdroid,bpellin,882.0,24.0,2009-01-05 22:01:52,267.0,754.0
152,2016-11-07,https://github.com/QuantumBadger/RedReader,org.quantumbadger.redreader,Internet,RedReader,QuantumBadger,994.0,51.0,2013-04-04 14:00:14,299.0,652.0
153,2016-11-04,https://github.com/slp/Telegram-FOSS,org.telegram.messenger,Internet,Telegram-FOSS,slp,415.0,12.0,2014-02-20 10:53:44,35.0,170.0
154,2016-11-04,https://github.com/pR0Ps/LocationShare,ca.cmetcalfe.locationshare,Connectivity,LocationShare,pR0Ps,23.0,1.0,2013-03-27 20:32:01,5.0,7.0
